UserID			ProjectID		Score	Str_Score
2116220000		1			0		3:10
2116220000		2			0		13s
2116220054		1			0		3:18
2116220054		2			0		13s
2116220055		1			0		2:39
2116220056		1			0		3:29
2116220057		2			0		19s
2116220058		1			0		3:50
2116220058		2			0		20s
2116220059		2			0		21s
2116220060		2			0		22s
2116220060		1			0		3:42
2116220061		2			0		23s
2116220062		2			0		26s
2116220063		1			0		2:45
2116220064		1			0		3:12
2116220064		2			0		24s
2116220065		1			0		2:49
2116220066		1			0		2:51
2116220066		2			0		25s
2116220067		1			0		3:01
2116220068		1			0		2:21
2116220069		2			0		17s
2116220070		2			0		16s
2116220070		1			0		2:10
2116220071		2			0		15s
2116220072		1			0		3:20
2116220072		2			0		14s
